title,abstract
Joint Open Knowledge Base Canonicalization and Linking,"  Open Information Extraction (OIE) methods extract a large number of OIE
triples (noun phrase, relation phrase, noun phrase) from text, which compose
large Open Knowledge Bases (OKBs). However, noun phrases (NPs) and relation
phrases (RPs) in OKBs are not canonicalized and often appear in different
paraphrased textual variants, which leads to redundant and ambiguous facts. To
address this problem, there are two related tasks: OKB canonicalization (i.e.,
convert NPs and RPs to canonicalized form) and OKB linking (i.e., link NPs and
RPs with their corresponding entities and relations in a curated Knowledge Base
(e.g., DBPedia). These two tasks are tightly coupled, and one task can benefit
significantly from the other. However, they have been studied in isolation so
far. In this paper, we explore the task of joint OKB canonicalization and
linking for the first time, and propose a novel framework JOCL based on factor
graph model to make them reinforce each other. JOCL is flexible enough to
combine different signals from both tasks, and able to extend to fit any new
signals. A thorough experimental study over two large scale OIE triple data
sets shows that our framework outperforms all the baseline methods for the task
of OKB canonicalization (OKB linking) in terms of average F1 (accuracy).
"
A Benchmark Arabic Dataset for Commonsense Explanation,"  Language comprehension and commonsense knowledge validation by machines are
challenging tasks that are still under researched and evaluated for Arabic
text. In this paper, we present a benchmark Arabic dataset for commonsense
explanation. The dataset consists of Arabic sentences that does not make sense
along with three choices to select among them the one that explains why the
sentence is false. Furthermore, this paper presents baseline results to assist
and encourage the future evaluation of research in this field. The dataset is
distributed under the Creative Commons CC-BY-SA 4.0 license and can be found on
GitHub
"
"Summary-Oriented Vision Modeling for Multimodal Abstractive
  Summarization","  Multimodal abstractive summarization (MAS) aims to produce a concise summary
given the multimodal data (text and vision). Existing studies mainly focus on
how to effectively use the visual features from the perspective of an article,
having achieved impressive success on the high-resource English dataset.
However, less attention has been paid to the visual features from the
perspective of the summary, which may limit the model performance, especially
in the low- and zero-resource scenarios. In this paper, we propose to improve
the summary quality through summary-oriented visual features. To this end, we
devise two auxiliary tasks including vision to summary task and masked image
modeling task. Together with the main summarization task, we optimize the MAS
model via the training objectives of all these tasks. By these means, the MAS
model can be enhanced by capturing the summary-oriented visual features,
thereby yielding more accurate summaries. Experiments on 44 languages, covering
mid-high-, low-, and zero-resource scenarios, verify the effectiveness and
superiority of the proposed approach, which achieves state-of-the-art
performance under all scenarios. Additionally, we will contribute a large-scale
multilingual multimodal abstractive summarization (MM-Sum) dataset.
"
Siamese Networks for Semantic Pattern Similarity,"  Semantic Pattern Similarity is an interesting, though not often encountered
NLP task where two sentences are compared not by their specific meaning, but by
their more abstract semantic pattern (e.g., preposition or frame). We utilize
Siamese Networks to model this task, and show its usefulness in determining SQL
patterns for unseen questions in a database-backed question answering scenario.
Our approach achieves high accuracy and contains a built-in proxy for
confidence, which can be used to keep precision arbitrarily high.
"
Prosody Labelled Dataset for Hindi using Semi-Automated Approach,"  This study aims to develop a semi-automatically labelled prosody database for
Hindi, for enhancing the intonation component in ASR and TTS systems, which is
also helpful for building Speech to Speech Machine Translation systems.
Although no single standard for prosody labelling exists in Hindi, researchers
in the past have employed perceptual and statistical methods in literature to
draw inferences about the behaviour of prosody patterns in Hindi. Based on such
existing research and largely agreed upon theories of intonation in Hindi, this
study attempts to first develop a manually annotated prosodic corpus of Hindi
speech data, which is then used for training prediction models for generating
automatic prosodic labels. A total of 5,000 sentences (23,500 words) for
declarative and interrogative types have been labelled. The accuracy of the
trained models for pitch accent, intermediate phrase boundaries and accentual
phrase boundaries is 73.40%, 93.20%, and 43% respectively.
"
"What Do You Mean I'm Funny? Personalizing the Joke Skill of a
  Voice-Controlled Virtual Assistant","  A considerable part of the success experienced by Voice-controlled virtual
assistants (VVA) is due to the emotional and personalized experience they
deliver, with humor being a key component in providing an engaging interaction.
In this paper we describe methods used to improve the joke skill of a VVA
through personalization. The first method, based on traditional NLP techniques,
is robust and scalable. The others combine self-attentional network and
multi-task learning to obtain better results, at the cost of added complexity.
A significant challenge facing these systems is the lack of explicit user
feedback needed to provide labels for the models. Instead, we explore the use
of two implicit feedback-based labelling strategies. All models were evaluated
on real production data. Online results show that models trained on any of the
considered labels outperform a heuristic method, presenting a positive
real-world impact on user satisfaction. Offline results suggest that the
deep-learning approaches can improve the joke experience with respect to the
other considered methods.
"
Topical differences between Chinese language Twitter and Sina Weibo,"  Sina Weibo, China's most popular microblogging platform, is currently used by
over $500M$ users and is considered to be a proxy of Chinese social life. In
this study, we contrast the discussions occurring on Sina Weibo and on Chinese
language Twitter in order to observe two different strands of Chinese culture:
people within China who use Sina Weibo with its government imposed restrictions
and those outside that are free to speak completely anonymously. We first
propose a simple ad-hoc algorithm to identify topics of Tweets and Weibo.
Different from previous works on micro-message topic detection, our algorithm
considers topics of the same contents but with different \#tags. Our algorithm
can also detect topics for Tweets and Weibos without any \#tags. Using a large
corpus of Weibo and Chinese language tweets, covering the period from January
$1$ to December $31$, $2012$, we obtain a list of topics using clustered \#tags
that we can then use to compare the two platforms. Surprisingly, we find that
there are no common entries among the Top $100$ most popular topics.
Furthermore, only $9.2\%$ of tweets correspond to the Top $1000$ topics on Sina
Weibo platform, and conversely only $4.4\%$ of weibos were found to discuss the
most popular Twitter topics. Our results reveal significant differences in
social attention on the two platforms, with most popular topics on Sina Weibo
relating to entertainment while most tweets corresponded to cultural or
political contents that is practically non existent in Sina Weibo.
"
Disentangling Homophemes in Lip Reading using Perplexity Analysis,"  The performance of automated lip reading using visemes as a classification
schema has achieved less success compared with the use of ASCII characters and
words largely due to the problem of different words sharing identical visemes.
The Generative Pre-Training transformer is an effective autoregressive language
model used for many tasks in Natural Language Processing, including sentence
prediction and text classification.
  This paper proposes a new application for this model and applies it in the
context of lip reading, where it serves as a language model to convert visual
speech in the form of visemes, to language in the form of words and sentences.
The network uses the search for optimal perplexity to perform the
viseme-to-word mapping and is thus a solution to the one-to-many mapping
problem that exists whereby various words that sound different when spoken look
identical. This paper proposes a method to tackle the one-to-many mapping
problem when performing automated lip reading using solely visual cues in two
separate scenarios: the first scenario is where the word boundary, that is, the
beginning and the ending of a word, is unknown; and the second scenario is
where the boundary is known.
  Sentences from the benchmark BBC dataset ""Lip Reading Sentences in the
Wild""(LRS2), are classified with a character error rate of 10.7% and a word
error rate of 18.0%. The main contribution of this paper is to propose a method
of predicting words through the use of perplexity analysis when only visual
cues are present, using an autoregressive language model.
"
"Exploration of Neural Machine Translation in Autoformalization of
  Mathematics in Mizar","  In this paper we share several experiments trying to automatically translate
informal mathematics into formal mathematics. In our context informal
mathematics refers to human-written mathematical sentences in the LaTeX format;
and formal mathematics refers to statements in the Mizar language. We conducted
our experiments against three established neural network-based machine
translation models that are known to deliver competitive results on translating
between natural languages. To train these models we also prepared four
informal-to-formal datasets. We compare and analyze our results according to
whether the model is supervised or unsupervised. In order to augment the data
available for auto-formalization and improve the results, we develop a custom
type-elaboration mechanism and integrate it in the supervised translation.
"
"Contextual Sentence Analysis for the Sentiment Prediction on Financial
  Data","  Newsletters and social networks can reflect the opinion about the market and
specific stocks from the perspective of analysts and the general public on
products and/or services provided by a company. Therefore, sentiment analysis
of these texts can provide useful information to help investors trade in the
market. In this paper, a hierarchical stack of Transformers model is proposed
to identify the sentiment associated with companies and stocks, by predicting a
score (of data type real) in a range between -1 and +1. Specifically, we
fine-tuned a RoBERTa model to process headlines and microblogs and combined it
with additional Transformer layers to process the sentence analysis with
sentiment dictionaries to improve the sentiment analysis. We evaluated it on
financial data released by SemEval-2017 task 5 and our proposition outperformed
the best systems of SemEval-2017 task 5 and strong baselines. Indeed, the
combination of contextual sentence analysis with the financial and general
sentiment dictionaries provided useful information to our model and allowed it
to generate more reliable sentiment scores.
"
